region,market,enodeb_gnodeb,filedate,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,00:00,risk
e_nor_cal,038,361144,2025-09-07,9.76,1.84,2.84,14.14,11.17,14.59,4.24,7.76,4.63,8.58,11.35,6.62,6.69,14.99,3.1,0.31,5.53,1.4,14.81,4.84,13.86,14.13,1.15,13.5,1.34,9.1,11.47,11.42,13.97,8.71,6.08,12.92,9.51,13.41,8.89,2.73,5.4,9.71,7.37,14.4,3.54,6.26,0.74,7.54,2.43,14.85,11.71,13.59,10.86,0.38,14.99,1.92,7.69,3.1,7.22,4.86,7.23,12.88,6.85,12.43,8.59,7.84,11.83,3.72,9.79,8.69,0.76,2.28,2.66,2.5,5.18,4.31,11.35,4.91,8.4,14.99,3.17,5.69,7.63,5.79,2.25,3.09,3.39,11.62,5.8,7.68,9.46,12.72,7.85,8.15,5.03,0.91,11.74,11.68,12.59,5.32,0
e_carr_tenn,191,331238,2025-09-06,4.01,8.26,2.62,2.29,9.25,0.16,5.62,11.95,5.78,2.48,10.05,2.24,11.77,8.1,4.86,0.39,11.62,13.34,0.58,5.61,3.9,2.11,6.47,0.86,13.18,6.21,0.87,11.87,14.44,0.59,13.13,4.4,0.5,14.89,1.62,14.26,10.26,1.36,4.79,6.85,2.94,5.58,10.67,0.48,8.81,6.31,3.9,6.47,6.09,8.36,10.72,9.17,2.42,4.48,4.14,3.78,11.95,10.21,10.71,9.49,3.73,10.28,13.19,6.27,6.48,6.83,5.3,4.67,1.66,8.26,11.27,8.76,13.84,14.3,1.7,0.73,9.62,10.72,3.45,9.19,10.96,6.79,13.81,13.73,3.81,6.83,12.69,0.49,9.82,13.85,0.26,11.36,4.16,8.75,12.36,8.22,0
e_nor_cal,038,998222,2025-09-07,1.99,4.12,3.06,9.02,0.75,12.05,5.12,1.7,6.46,13.39,12.14,13.36,9.24,14.28,5.56,13.79,14.62,8.49,13.04,8.88,13.39,12.84,7.42,1.17,0.41,14.89,11.23,8.15,2.32,8.88,6.13,6.22,12.4,2.43,10.18,5.13,3.94,12.64,9.28,14.49,4.98,5.74,6.63,13.4,4.58,5.3,11.91,10.71,11.67,1.25,5.8,4.28,0.9,5.94,2.07,10.8,14.54,14.2,1.65,10.76,11.72,6.56,6.34,12.36,7.82,13.17,13.04,2.46,7.66,1.83,7.57,3.6,11.07,2.39,2.23,10.68,2.63,5.18,0.82,7.03,14.63,2.95,3.93,5.62,11.02,7.35,9.98,4.96,0.24,4.63,3.53,4.72,10.64,12.22,5.4,8.91,0
e_carr_tenn,191,643836,2025-09-07,8.41,0.64,6.8,11.51,3.31,13.4,0.77,3.73,7.25,9.97,3.8,2.81,8.52,10.98,4.49,5.83,5.63,13.61,13.34,0.73,6.11,2.59,14.57,8.9,14.57,10.22,11.95,3.78,13.07,11.25,2.56,1.24,4.33,3.15,14.22,0.52,8.15,12.83,1.34,6.73,0.54,0.62,1.35,2.51,0.73,2.12,12.44,10.76,14.29,4.05,13.73,4.54,13.44,10.08,4.89,4.93,7.34,2.95,6.74,0.57,14.54,2.33,8.65,6.04,15.0,1.45,5.88,6.74,14.95,10.83,1.29,13.82,9.63,8.06,13.31,7.55,7.93,11.88,13.71,11.87,14.01,0.58,13.01,7.23,5.57,6.31,1.62,4.77,3.12,8.03,0.46,1.1,6.57,10.73,7.91,10.26,0
e_carr_tenn,191,794067,2025-09-06,12.9,11.28,11.08,6.47,13.48,4.94,2.68,9.0,14.77,8.1,2.23,7.66,12.53,14.02,4.17,13.6,9.24,14.31,4.74,5.56,7.76,1.8,12.13,2.32,6.48,2.19,0.94,12.65,8.19,6.98,4.84,9.46,10.37,2.87,11.62,5.75,14.37,0.48,7.43,13.8,10.82,13.46,8.34,14.35,10.11,12.96,0.43,4.35,5.78,10.95,14.18,13.7,6.71,14.45,4.57,1.04,11.99,13.51,13.03,9.12,14.29,8.37,0.91,13.73,7.34,2.66,0.01,0.71,5.22,8.32,14.21,3.07,12.13,2.21,0.87,10.61,4.59,9.09,12.83,5.67,10.25,5.66,6.38,11.79,3.8,0.6,9.85,6.98,11.76,1.78,0.05,5.82,0.62,13.38,12.55,0.88,0
e_nor_cal,032,148641,2025-09-06,2.44,12.83,5.92,12.8,7.9,3.37,8.46,8.32,2.13,6.44,7.38,7.06,14.97,5.18,3.08,14.25,4.83,5.65,14.6,2.97,0.19,0.12,13.33,9.89,14.07,0.51,5.51,9.29,1.53,13.13,3.36,0.01,11.15,12.29,4.16,9.4,1.88,14.96,9.36,12.99,2.11,13.78,3.41,9.82,1.07,12.67,1.83,1.67,5.67,5.8,9.25,14.0,3.05,8.44,11.63,0.99,10.85,0.08,5.06,12.11,1.36,10.76,14.93,4.97,3.46,6.06,5.9,11.8,8.49,2.07,10.68,4.32,14.69,4.02,10.25,11.41,3.97,14.33,13.45,14.04,7.44,2.27,2.38,3.73,2.5,6.14,6.17,10.43,13.09,3.83,1.06,13.45,7.24,6.21,3.05,1.15,0
e_nor_cal,032,676316,2025-09-07,14.36,5.79,4.59,9.54,5.31,14.32,0.87,4.68,3.47,1.32,14.48,11.38,6.94,8.81,6.23,10.15,11.99,4.8,5.05,13.57,3.53,12.11,7.24,0.9,3.32,7.05,1.02,14.12,11.96,14.78,9.77,10.28,0.41,12.08,2.09,9.92,11.64,11.3,14.9,11.81,7.13,8.27,3.38,0.91,1.63,14.03,3.82,10.69,6.36,5.08,2.27,1.83,0.41,13.6,13.03,2.5,5.79,1.06,6.78,13.74,1.17,10.84,11.41,13.56,13.54,13.68,0.47,1.81,10.68,8.8,5.61,14.24,12.81,3.37,9.43,8.69,1.64,0.6,7.51,11.08,6.07,7.63,9.35,6.32,9.53,8.78,11.61,1.24,5.21,9.22,13.96,6.42,1.75,4.3,12.5,0.62,0
e_nor_cal,032,725547,2025-09-06,6.29,10.31,3.65,10.29,8.45,5.14,14.54,3.15,7.13,8.74,11.64,11.82,11.63,8.59,4.14,11.31,12.31,8.74,11.28,2.08,7.67,14.53,3.17,14.3,5.14,11.07,5.21,12.12,0.12,0.11,8.28,2.52,2.69,14.86,7.11,7.84,7.78,4.55,3.25,6.31,10.41,9.02,9.12,12.14,3.09,5.2,8.88,7.8,4.78,7.28,6.15,14.66,1.73,14.71,7.78,5.31,5.13,14.9,10.47,2.2,11.93,3.63,8.7,1.21,2.81,14.52,14.62,9.79,6.45,11.73,4.43,10.77,14.63,3.66,4.37,7.17,2.39,14.51,4.69,2.18,9.64,12.25,11.2,9.09,11.79,8.17,13.83,13.82,11.52,13.2,9.97,9.65,0.84,7.18,7.98,2.06,0
e_carr_tenn,190,676005,2025-09-07,13.97,4.27,13.14,9.43,8.96,10.96,14.37,4.99,8.92,6.92,0.71,5.49,1.27,4.97,10.79,14.13,4.61,8.56,13.46,7.73,3.29,2.73,13.67,3.8,3.18,13.62,7.32,4.84,5.93,7.08,12.12,12.9,13.29,11.15,4.65,4.94,5.48,1.62,9.92,0.38,10.66,1.75,0.4,1.34,12.31,11.52,5.64,0.05,5.09,13.88,11.07,7.56,6.78,6.19,3.94,10.4,4.04,1.19,7.88,11.05,5.93,9.36,12.88,10.87,3.21,1.53,0.83,9.19,10.6,2.88,8.0,9.8,4.5,10.32,2.0,3.66,1.55,7.41,13.2,9.72,0.81,2.81,6.48,5.65,6.84,6.86,3.76,13.22,5.76,7.57,2.53,13.23,2.27,4.04,12.83,2.02,0
e_carr_tenn,190,355214,2025-09-08,5.52,13.0,1.84,12.38,11.46,10.33,0.52,4.93,4.13,0.63,3.53,1.9,2.95,5.6,7.89,3.33,7.71,7.17,11.43,14.45,4.23,12.34,12.97,14.55,11.66,8.33,4.66,1.05,9.11,4.13,11.25,11.22,12.7,4.55,1.74,6.76,3.03,5.64,8.95,1.5,12.78,13.2,11.04,1.45,2.78,8.04,12.3,2.54,4.06,13.24,2.28,13.92,14.24,5.27,1.31,8.44,11.15,0.19,8.5,11.17,7.16,5.42,6.17,12.82,7.68,12.79,1.62,1.76,0.24,5.75,10.12,9.84,7.32,3.25,10.42,1.76,4.12,9.12,12.48,0.19,2.72,3.3,9.15,12.19,10.78,14.2,11.63,0.67,11.3,10.73,11.02,1.78,4.22,4.77,7.66,3.51,0
e_carr_tenn,190,199204,2025-09-08,0.97,4.74,3.76,5.99,6.46,9.99,8.08,8.03,11.56,3.24,0.9,14.92,9.0,8.24,2.3,10.47,13.77,10.87,3.46,5.03,14.3,13.56,2.79,0.63,9.87,0.82,8.31,0.38,1.52,3.42,14.58,6.4,10.51,7.89,4.51,14.05,4.82,2.43,8.59,2.83,10.83,14.0,8.25,2.37,7.83,2.52,4.02,12.97,7.44,6.37,11.66,11.89,8.81,9.91,5.66,1.7,10.27,13.54,14.88,12.63,5.05,7.75,12.08,7.05,1.0,6.12,1.01,7.25,7.57,10.55,10.62,0.42,2.17,12.4,5.71,3.02,1.36,9.95,1.64,14.49,8.35,10.85,4.97,5.0,12.45,0.18,14.42,9.39,12.77,4.01,13.99,8.5,11.39,10.39,9.73,0.31,0
e_carr_tenn,191,878795,2025-09-07,10.53,10.49,9.72,8.92,13.43,7.03,10.61,12.42,10.65,6.8,2.22,5.94,5.39,14.88,9.64,0.87,11.14,9.61,9.0,9.23,12.75,13.6,3.49,11.74,2.03,0.96,8.19,9.17,10.18,11.04,4.37,1.33,6.51,5.13,3.68,10.0,9.46,0.22,8.15,6.14,10.87,2.94,0.37,3.32,10.56,7.87,13.32,1.89,9.11,8.38,6.53,6.53,4.46,13.27,3.73,4.88,13.73,3.8,2.28,12.11,1.87,1.62,8.92,6.2,13.16,10.63,11.66,8.9,8.18,6.81,10.45,7.44,0.58,4.15,0.85,9.49,0.9,1.48,4.83,2.47,7.2,13.03,3.28,3.7,6.2,8.86,1.59,13.94,12.34,13.26,12.2,9.7,6.87,11.67,12.83,11.91,0
e_carr_tenn,190,160433,2025-09-07,7.96,6.84,0.75,8.15,10.33,13.23,4.23,11.58,0.06,7.74,12.39,14.89,3.88,1.15,3.51,9.11,14.56,3.62,11.86,4.76,14.54,8.98,10.71,3.06,11.23,10.38,2.44,2.52,0.53,4.26,2.46,13.62,3.76,2.43,11.88,5.55,5.17,12.58,14.53,1.07,7.1,11.08,10.35,9.98,4.65,6.55,7.08,0.25,3.47,9.64,7.79,8.8,10.74,2.59,7.57,6.34,2.99,6.28,3.1,1.14,11.25,6.95,2.93,0.5,1.7,6.17,1.25,7.07,11.73,10.42,10.79,6.0,1.96,9.37,11.93,9.22,14.03,13.23,5.42,1.46,3.0,10.2,5.83,14.55,9.92,12.3,9.87,9.06,7.76,5.04,8.21,0.06,4.78,14.25,9.51,6.1,0
e_carr_tenn,191,657547,2025-09-06,13.83,12.18,9.57,1.71,3.25,14.83,13.01,0.09,2.19,2.89,5.26,13.39,5.81,12.62,8.31,3.45,1.34,12.07,0.62,7.8,11.31,0.81,13.82,2.65,1.18,3.05,11.24,14.96,6.27,5.16,5.64,3.04,10.29,0.13,7.53,4.2,7.19,12.25,6.4,0.78,13.03,10.04,0.67,0.89,9.9,8.6,11.34,0.35,12.12,1.47,1.48,14.83,14.13,5.13,5.46,8.3,12.84,4.25,14.34,2.49,10.22,0.63,4.02,6.68,7.74,8.62,8.87,14.58,5.07,12.38,7.65,0.33,0.3,8.43,13.15,9.49,11.7,13.34,11.6,13.31,12.98,0.4,12.8,7.83,13.19,1.6,9.49,14.95,12.63,13.72,12.91,10.0,13.4,14.61,14.66,13.18,0
e_carr_tenn,190,253719,2025-09-06,6.46,8.77,4.39,14.6,14.21,6.95,12.32,3.97,14.66,3.08,11.59,1.27,4.23,5.07,12.22,14.01,5.27,0.2,9.5,1.17,14.76,11.75,4.12,9.28,14.75,3.19,7.23,2.48,7.21,13.77,3.95,5.03,13.82,7.24,13.41,1.69,4.18,12.22,7.08,9.49,2.38,11.86,6.06,12.68,11.8,13.61,7.26,0.54,13.78,3.1,12.98,3.26,13.02,6.62,0.72,2.44,8.0,13.54,10.37,10.39,4.34,8.83,9.0,13.51,8.28,5.86,3.99,7.72,5.28,10.89,10.92,7.13,4.97,12.39,14.28,2.26,3.36,11.02,14.76,9.3,0.08,3.7,0.26,8.15,1.47,5.14,10.81,1.61,9.9,13.36,9.04,13.78,11.83,3.7,3.48,0.41,0
e_carr_tenn,190,464685,2025-09-06,1.21,9.82,1.4,10.83,12.02,2.11,7.92,7.77,9.4,12.65,9.19,2.57,8.36,10.55,12.91,13.22,12.67,13.73,3.79,0.64,4.05,9.85,9.49,0.04,9.21,1.23,11.46,11.61,10.68,11.16,10.51,3.12,14.64,1.81,2.19,6.18,0.51,8.94,9.54,2.96,10.67,14.16,2.86,12.99,10.37,7.15,4.64,3.67,4.76,3.65,1.52,7.41,13.79,7.75,5.92,14.0,1.08,14.79,14.41,14.4,1.84,3.27,5.64,5.98,6.33,11.65,4.87,2.27,7.73,2.9,13.4,7.39,3.94,9.41,13.44,1.95,7.62,3.44,14.43,10.87,7.74,2.42,12.86,3.21,7.24,8.92,8.94,13.65,8.62,12.78,13.48,0.68,0.56,3.37,4.6,14.88,0
e_nor_cal,032,356901,2025-09-08,4.28,13.49,8.54,2.62,1.31,6.03,3.06,7.74,14.01,8.77,11.5,3.02,3.92,8.61,3.2,10.99,7.38,4.76,5.35,0.05,13.0,1.98,9.47,13.67,10.84,10.25,0.72,0.69,0.64,14.23,9.28,1.24,9.65,5.35,0.42,14.41,9.5,13.57,14.47,14.37,7.57,6.42,9.0,2.5,10.03,5.48,7.8,14.75,13.23,5.11,0.51,4.24,11.45,3.95,0.89,4.98,13.02,10.93,5.52,13.3,6.88,13.27,1.83,3.13,12.14,3.04,2.68,6.67,0.11,3.39,14.87,14.97,2.21,12.21,10.17,7.6,6.99,12.37,6.08,8.97,2.49,2.13,0.54,11.7,6.48,14.32,2.53,8.33,11.77,9.92,3.08,10.94,11.58,12.43,3.79,6.5,0
e_carr_tenn,190,132256,2025-09-07,8.89,5.06,10.82,7.72,13.39,13.17,0.39,12.21,5.25,13.07,12.28,5.11,6.99,8.06,12.61,5.52,0.42,12.2,0.94,4.47,3.87,5.64,2.58,1.56,11.46,9.26,14.06,2.06,7.67,14.96,11.67,2.7,12.57,8.82,14.06,12.82,3.55,3.64,0.45,9.69,9.19,10.9,0.57,10.39,2.52,4.16,10.35,1.37,11.16,11.03,11.02,3.86,13.13,0.7,0.19,12.25,1.59,9.88,8.73,11.43,14.09,8.9,4.07,2.24,11.14,8.44,0.27,10.27,5.19,8.31,6.46,1.09,12.14,10.83,4.48,3.38,4.98,13.63,5.51,5.04,9.2,12.16,1.11,9.45,2.29,6.55,12.09,6.55,4.66,6.07,1.41,0.9,3.18,5.75,13.03,13.37,0
e_nor_cal,038,285114,2025-09-07,6.31,1.83,11.54,5.76,9.26,14.05,7.83,14.63,7.39,0.3,11.04,6.87,0.19,9.57,7.53,3.93,9.12,14.29,8.02,9.21,14.33,12.47,4.93,12.06,7.2,4.17,13.26,7.0,12.76,5.25,12.68,1.56,9.23,3.0,1.38,3.8,14.24,5.03,0.2,5.6,9.38,3.62,9.29,3.99,6.42,12.74,11.25,12.12,13.77,6.21,0.81,0.56,8.34,4.6,8.15,5.79,7.95,9.96,4.96,4.99,3.48,14.07,13.25,9.7,5.53,12.23,13.01,12.43,5.52,11.85,12.87,1.61,14.42,11.16,6.09,0.12,7.51,8.04,14.28,6.79,3.0,14.7,0.44,14.53,12.62,14.58,6.94,13.64,11.8,7.22,14.58,1.24,8.28,1.05,5.95,2.68,0
e_carr_tenn,191,432641,2025-09-06,13.35,10.62,7.53,2.91,11.13,1.2,10.92,3.01,0.01,4.03,9.34,11.77,5.63,0.79,5.89,5.5,6.49,14.02,12.61,3.61,3.06,4.57,13.84,3.59,4.7,12.92,4.69,2.54,12.56,9.49,0.45,10.89,6.14,14.95,2.65,8.63,0.12,8.02,2.96,1.98,9.92,0.6,9.56,11.11,11.98,7.37,11.27,7.87,7.65,5.54,11.45,6.1,10.57,10.34,2.21,4.3,8.65,0.37,1.29,9.97,12.82,14.54,8.56,6.86,4.09,7.74,0.84,12.14,4.06,0.65,5.54,11.33,2.31,8.85,6.52,7.11,8.09,6.57,5.85,10.18,0.08,2.3,3.17,12.21,7.0,4.78,14.38,12.74,8.56,0.08,0.73,3.89,3.82,6.55,1.06,1.81,0
e_nor_cal,038,360430,2025-09-08,3.78,8.19,3.06,5.28,9.32,10.41,11.21,2.41,6.91,7.25,5.02,10.54,0.86,3.87,2.31,6.88,14.33,4.61,8.51,6.1,13.02,7.89,8.0,5.07,9.31,1.92,4.57,8.11,12.49,2.59,5.14,1.91,6.73,7.29,3.74,2.35,4.36,6.05,14.76,8.98,13.73,9.46,5.47,1.5,7.81,10.88,14.51,12.96,8.91,6.11,3.5,9.26,7.76,4.66,0.52,6.64,4.5,7.82,4.65,12.12,12.3,8.29,1.67,3.54,12.44,10.33,5.1,1.28,10.64,3.05,11.1,5.47,6.76,11.19,11.84,12.12,1.28,7.18,4.41,6.39,2.04,13.65,10.66,7.8,12.4,9.32,8.65,2.95,13.81,10.71,3.01,10.35,0.56,4.91,10.83,10.03,0
e_carr_tenn,191,927933,2025-09-06,13.08,3.33,8.57,4.53,8.02,3.55,5.61,9.93,4.81,13.98,3.16,9.93,3.84,8.29,9.68,0.3,10.04,2.36,6.54,14.71,11.13,12.15,4.76,8.84,8.33,0.25,8.69,4.7,14.56,9.82,13.92,9.97,11.96,8.2,5.49,5.84,12.19,11.91,12.65,6.86,11.02,14.9,13.99,4.12,2.42,10.02,13.39,2.71,12.97,14.13,11.59,2.91,5.12,14.36,9.71,6.31,2.49,0.88,11.57,4.16,11.33,3.22,2.56,3.63,7.68,4.1,5.06,5.57,4.35,6.36,12.22,6.51,7.37,10.12,4.33,1.04,14.82,1.08,10.69,8.84,3.41,6.83,4.36,11.92,1.05,1.76,11.56,3.31,1.58,6.18,5.85,9.17,5.88,2.17,1.13,7.45,0
e_carr_tenn,190,851873,2025-09-08,8.93,4.78,12.79,10.09,13.92,0.41,14.66,3.25,0.05,14.18,3.97,4.08,14.9,13.36,3.34,12.97,8.2,9.67,14.79,11.07,2.0,0.66,1.52,14.79,5.92,10.19,12.93,7.87,11.13,5.64,5.07,4.72,12.21,11.68,4.78,3.78,8.35,14.25,0.45,2.15,11.74,0.12,14.59,13.36,8.3,11.48,6.24,12.76,6.88,6.58,1.15,11.08,5.24,1.38,13.83,13.04,1.95,7.05,14.25,8.6,0.16,7.23,4.2,14.89,5.86,9.37,14.01,1.79,6.37,13.99,11.16,5.38,1.34,0.69,6.71,8.79,9.36,0.28,14.81,4.38,5.22,14.85,13.83,8.52,10.89,13.42,2.89,3.66,2.79,7.82,13.89,5.61,5.34,14.06,9.81,11.3,0
e_nor_cal,032,754391,2025-09-07,4.27,12.56,10.32,9.72,14.7,14.82,6.29,9.72,14.17,1.11,13.0,6.1,9.87,13.02,2.06,2.46,13.72,8.91,11.26,9.09,10.29,14.47,11.19,11.43,7.51,6.92,14.36,5.63,14.39,13.94,4.12,12.92,10.71,8.43,9.73,13.66,1.31,0.97,14.57,1.73,12.83,13.32,1.81,14.71,1.94,1.84,1.21,10.81,0.41,3.86,7.02,0.71,11.95,7.51,12.37,5.07,11.37,10.54,9.18,10.36,5.13,13.44,5.53,5.62,14.52,8.21,7.0,6.61,13.01,13.31,8.45,11.78,3.16,8.2,4.83,6.79,6.97,13.47,3.76,2.68,5.63,3.76,4.47,14.37,11.02,10.06,13.49,0.48,0.87,12.74,7.95,7.33,8.04,14.34,5.08,1.85,0
e_carr_tenn,191,308150,2025-09-07,12.16,11.77,4.74,4.0,6.64,10.41,2.63,6.18,7.14,9.78,7.21,1.73,8.28,11.45,11.42,4.4,3.69,3.88,3.69,4.74,3.8,11.14,7.89,1.39,10.6,10.16,14.88,12.06,8.79,10.13,9.53,7.46,6.45,3.6,4.85,1.4,2.17,6.26,13.55,10.96,3.13,2.85,6.27,3.58,4.85,7.75,4.89,10.94,3.96,4.62,11.3,3.41,11.22,7.6,0.94,8.26,6.3,2.15,9.42,5.12,12.36,11.69,2.07,4.38,5.73,8.34,2.64,6.51,1.57,3.36,14.26,10.35,2.77,4.61,1.98,11.18,8.42,2.22,6.54,2.47,9.97,12.97,1.6,14.69,2.39,13.15,1.33,8.07,5.03,0.97,11.38,8.2,7.24,14.83,4.05,7.74,0
e_nor_cal,038,772790,2025-09-06,1.68,6.69,12.0,4.26,6.34,14.16,6.1,14.61,4.11,4.05,12.26,9.02,1.92,8.12,7.98,6.45,2.8,7.5,6.34,13.19,14.05,8.93,9.35,11.65,3.86,11.38,0.13,11.71,7.11,13.8,7.94,10.8,13.85,10.62,6.45,8.43,4.65,2.37,1.44,9.21,14.63,12.98,14.69,7.49,0.36,8.37,4.64,10.2,9.42,3.66,12.73,7.36,3.44,0.3,3.44,11.2,4.41,3.78,12.22,13.39,5.11,5.7,9.38,1.63,2.83,13.25,5.41,3.42,14.01,2.47,13.85,14.84,5.92,13.59,5.35,12.73,7.02,5.25,14.71,11.81,11.31,1.87,9.3,11.19,9.92,4.0,1.08,12.09,12.88,13.87,14.7,3.15,7.7,12.78,3.14,8.91,0
e_carr_tenn,191,536176,2025-09-07,10.83,10.73,5.92,11.4,3.8,10.74,4.17,10.8,6.96,12.62,7.32,4.66,10.84,10.45,5.79,10.65,5.59,13.69,9.82,10.23,2.29,5.88,8.56,6.64,9.54,0.34,7.77,6.36,0.65,1.83,14.02,2.02,1.71,10.99,8.88,10.47,12.7,6.86,5.29,6.5,12.75,6.94,1.08,2.08,12.02,0.64,7.41,3.0,14.86,3.37,4.26,11.39,9.1,14.99,0.93,5.85,12.74,10.39,13.61,8.49,8.76,0.95,11.49,1.51,8.35,11.66,4.36,2.44,11.31,13.95,6.08,4.65,7.78,7.84,0.25,4.8,6.03,0.41,9.29,9.38,7.74,3.52,11.28,13.69,14.44,5.26,2.26,2.92,2.53,14.11,14.65,10.46,9.02,8.1,4.23,8.8,0
e_carr_tenn,190,135126,2025-09-08,11.88,0.24,9.61,12.17,1.55,0.69,0.9,1.65,2.75,9.4,3.94,0.59,5.13,14.25,5.63,10.67,9.57,13.8,14.35,3.95,4.68,13.67,4.38,12.04,5.53,4.3,3.65,3.33,9.98,3.41,7.73,2.08,7.09,14.98,14.35,5.1,7.39,0.3,12.15,6.72,7.03,5.08,14.92,13.89,5.15,14.39,3.77,11.72,7.13,1.16,3.58,5.76,8.69,6.22,4.31,12.73,10.97,9.05,0.47,3.53,9.95,11.13,1.99,0.11,5.23,8.39,3.53,6.14,11.49,8.11,14.57,12.24,11.36,6.3,2.02,4.09,7.51,12.71,12.4,8.0,2.07,4.55,3.21,5.97,3.72,9.21,13.55,9.07,9.19,13.36,13.1,6.51,9.79,10.85,9.85,4.58,0
e_nor_cal,038,633076,2025-09-07,4.84,4.93,2.9,8.16,12.39,10.52,0.41,8.25,10.39,3.04,5.59,5.07,14.35,6.45,7.41,14.48,8.05,8.93,11.67,1.98,14.34,13.9,0.46,5.19,13.7,3.94,6.1,1.51,9.0,14.87,5.06,10.83,11.37,12.3,9.55,8.41,7.35,9.51,4.92,12.06,9.37,12.19,3.74,14.24,5.23,3.53,14.9,8.07,4.35,3.81,5.84,14.51,14.4,11.34,12.38,6.71,14.56,1.54,12.64,0.96,2.85,8.61,14.12,3.45,0.12,13.5,5.25,13.82,9.08,7.74,4.79,4.97,1.1,12.11,8.89,5.21,9.52,3.59,12.88,8.04,10.32,14.31,11.57,10.05,5.37,9.29,4.24,1.39,1.88,11.86,1.46,14.0,1.42,11.05,10.14,0.93,0
e_carr_tenn,190,471513,2025-09-08,2.23,1.03,3.16,8.67,10.47,4.39,10.42,5.0,0.5,3.6,9.67,2.03,5.31,4.92,5.88,3.4,11.9,11.95,14.72,9.59,2.06,14.29,14.57,12.82,11.75,8.01,10.79,7.64,9.24,10.07,6.62,0.74,11.96,1.42,8.4,11.77,14.23,14.29,2.98,7.79,2.77,12.13,1.61,0.07,3.93,11.8,7.36,7.66,7.73,8.9,13.82,3.14,8.05,10.1,8.71,2.86,6.58,2.11,0.28,13.86,14.91,10.53,1.7,1.34,6.84,3.63,9.23,3.42,4.5,11.96,13.02,5.36,8.37,5.03,0.03,11.65,6.93,10.01,9.73,9.99,13.36,11.91,11.04,1.68,14.93,9.51,12.15,7.61,0.31,5.08,2.76,6.56,8.84,12.91,13.63,13.14,0
e_carr_tenn,190,301317,2025-09-08,2.78,7.47,0.02,5.79,9.72,9.79,1.61,8.7,9.63,0.27,10.07,13.12,9.95,14.28,12.4,10.96,9.47,6.45,1.27,9.36,0.97,12.02,14.99,5.22,13.18,10.49,14.18,4.28,6.18,1.77,7.02,1.66,12.74,13.19,7.89,2.76,3.37,1.43,9.39,3.2,14.2,11.73,6.18,8.48,6.57,2.57,2.25,9.15,6.9,13.14,7.19,3.31,2.34,1.67,13.69,8.55,10.12,6.19,10.03,8.43,12.41,4.84,14.82,10.57,8.92,6.74,4.78,14.77,0.19,2.71,0.95,8.9,11.78,9.76,9.07,0.88,0.39,8.5,9.02,8.57,2.42,10.48,9.1,3.09,3.08,1.84,14.33,1.53,4.25,10.95,14.55,3.68,13.09,8.9,10.89,8.66,0
e_nor_cal,032,846635,2025-09-08,10.36,9.27,13.21,1.71,14.12,2.6,14.91,3.55,3.28,2.16,1.29,8.74,14.22,14.85,7.49,7.11,10.32,2.05,9.11,1.44,0.62,3.8,6.61,13.66,9.73,0.12,5.89,10.56,7.69,8.18,10.7,7.44,9.93,2.67,2.47,11.88,9.06,14.55,4.98,13.63,6.79,8.5,3.16,11.47,13.49,3.61,12.89,9.82,10.58,4.55,2.24,3.56,5.65,12.75,0.31,10.07,3.67,4.63,7.17,9.21,4.06,9.43,6.07,4.65,0.6,10.15,8.19,14.51,8.36,11.85,5.55,4.27,0.2,2.66,0.72,7.2,10.97,0.24,3.9,4.1,6.57,7.96,14.67,4.63,0.26,13.73,11.09,4.43,8.45,1.41,4.86,8.28,13.37,9.07,11.5,8.64,0
e_carr_tenn,190,609264,2025-09-08,9.87,5.11,14.37,1.74,6.13,1.43,5.55,7.42,1.35,12.9,14.8,1.37,9.22,7.05,11.27,5.5,5.95,10.33,5.86,1.76,9.11,10.79,9.62,2.17,3.17,11.39,10.4,6.16,13.11,8.34,13.69,5.71,0.68,13.81,3.37,2.7,7.01,5.93,6.86,0.64,1.12,9.53,7.29,14.46,1.32,14.33,8.08,11.58,1.53,10.96,7.18,13.86,9.87,4.11,3.43,7.08,8.98,1.97,13.85,0.58,7.66,12.83,3.45,2.87,4.57,8.52,7.09,11.54,4.38,4.3,1.69,4.38,7.33,2.99,1.1,8.93,13.67,4.63,5.35,8.16,9.3,9.5,4.65,8.57,7.36,13.98,9.37,6.86,11.27,11.48,5.08,6.06,5.61,3.25,6.37,3.28,0
